episode,reward,steps,success,epsilon
1,-161.0,50,0,0.995
2,-148.0,50,0,0.990025
3,-158.0,50,0,0.985074875
4,-173.0,50,0,0.9801495006250001
5,-166.0,50,0,0.9752487531218751
6,-151.0,50,0,0.9703725093562657
7,-159.0,50,0,0.9655206468094844
8,-174.0,50,0,0.960693043575437
9,-152.0,50,0,0.9558895783575597
10,-133.0,50,0,0.9511101304657719
11,-147.0,50,0,0.946354579813443
12,-156.0,50,0,0.9416228069143757
13,-167.0,50,0,0.9369146928798039
14,-151.0,50,0,0.9322301194154049
15,-165.0,50,0,0.9275689688183278
16,-156.0,50,0,0.9229311239742362
17,-147.0,50,0,0.918316468354365
18,-124.0,50,0,0.9137248860125932
19,-163.0,50,0,0.9091562615825302
20,-166.0,50,0,0.9046104802746175
21,-134.0,50,0,0.9000874278732445
22,-172.0,50,0,0.8955869907338783
23,-151.0,50,0,0.8911090557802088
24,-153.0,50,0,0.8866535105013078
25,7.0,40,1,0.8822202429488013
26,-127.0,50,0,0.8778091417340573
27,-138.0,50,0,0.8734200960253871
28,-157.0,50,0,0.8690529955452602
29,-163.0,50,0,0.8647077305675338
30,-175.0,50,0,0.8603841919146962
31,-137.0,50,0,0.8560822709551227
32,-153.0,50,0,0.851801859600347
33,-143.0,50,0,0.8475428503023453
34,-122.0,50,0,0.8433051360508336
35,-157.0,50,0,0.8390886103705794
36,-8.0,45,1,0.8348931673187264
37,-144.0,50,0,0.8307187014821328
38,-151.0,50,0,0.8265651079747222
39,-125.0,50,0,0.8224322824348486
40,-145.0,50,0,0.8183201210226743
41,-27.0,45,1,0.8142285204175609
42,-148.0,50,0,0.810157377815473
43,-2.0,42,1,0.8061065909263957
44,92.0,7,1,0.8020760579717637
45,68.0,12,1,0.798065677681905
46,51.0,21,1,0.7940753492934954
47,-135.0,50,0,0.7901049725470279
48,87.0,9,1,0.7861544476842928
49,63.0,17,1,0.7822236754458713
50,-12.0,35,1,0.778312557068642
51,-134.0,50,0,0.7744209942832988
52,-148.0,50,0,0.7705488893118823
53,-130.0,50,0,0.7666961448653229
54,-120.0,50,0,0.7628626641409962
55,23.0,32,1,0.7590483508202912
56,-23.0,48,1,0.7552531090661897
57,-136.0,50,0,0.7514768435208588
58,86.0,7,1,0.7477194593032545
59,-131.0,50,0,0.7439808620067382
60,52.0,25,1,0.7402609576967045
61,-158.0,50,0,0.736559652908221
62,76.0,9,1,0.7328768546436799
63,72.0,12,1,0.7292124703704616
64,-141.0,50,0,0.7255664080186093
65,-127.0,50,0,0.7219385759785162
66,56.0,23,1,0.7183288830986236
67,-3.0,37,1,0.7147372386831305
68,-140.0,50,0,0.7111635524897149
69,47.0,21,1,0.7076077347272662
70,-147.0,50,0,0.7040696960536299
71,77.0,8,1,0.7005493475733617
72,-118.0,50,0,0.697046600835495
73,-139.0,50,0,0.6935613678313175
74,-127.0,50,0,0.6900935609921609
75,92.0,5,1,0.6866430931872001
76,-143.0,50,0,0.6832098777212641
77,-20.0,50,1,0.6797938283326578
78,69.0,18,1,0.6763948591909945
79,-126.0,50,0,0.6730128848950395
80,-117.0,50,0,0.6696478204705644
81,-111.0,50,0,0.6662995813682115
82,68.0,12,1,0.6629680834613705
83,-128.0,50,0,0.6596532430440636
84,78.0,10,1,0.6563549768288433
85,-133.0,50,0,0.653073201944699
86,-115.0,50,0,0.6498078359349755
87,-115.0,50,0,0.6465587967553006
88,-121.0,50,0,0.6433260027715241
89,-144.0,50,0,0.6401093727576664
90,82.0,11,1,0.6369088258938781
91,73.0,13,1,0.6337242817644086
92,-123.0,50,0,0.6305556603555866
93,13.0,36,1,0.6274028820538087
94,92.0,5,1,0.6242658676435396
95,95.0,5,1,0.6211445383053219
96,54.0,18,1,0.6180388156137953
97,89.0,8,1,0.6149486215357263
98,-137.0,50,0,0.6118738784280476
99,87.0,6,1,0.6088145090359074
100,66.0,17,1,0.6057704364907278
101,-120.0,50,0,0.6027415843082742
102,59.0,20,1,0.5997278763867329
103,-114.0,50,0,0.5967292370047992
104,89.0,9,1,0.5937455908197752
105,88.0,9,1,0.5907768628656763
106,74.0,12,1,0.5878229785513479
107,43.0,24,1,0.5848838636585911
108,92.0,5,1,0.5819594443402982
109,90.0,9,1,0.5790496471185967
110,52.0,23,1,0.5761543988830038
111,89.0,8,1,0.5732736268885887
112,-125.0,50,0,0.5704072587541458
113,75.0,17,1,0.567555222460375
114,51.0,24,1,0.5647174463480732
115,87.0,9,1,0.5618938591163328
116,88.0,8,1,0.5590843898207511
117,86.0,10,1,0.5562889678716474
118,-110.0,50,0,0.5535075230322891
119,85.0,8,1,0.5507399854171277
120,81.0,15,1,0.547986285490042
121,94.0,7,1,0.5452463540625918
122,90.0,6,1,0.5425201222922789
123,76.0,11,1,0.5398075216808175
124,20.0,36,1,0.5371084840724134
125,95.0,6,1,0.5344229416520513
126,97.0,4,1,0.531750826943791
127,63.0,19,1,0.5290920728090721
128,95.0,6,1,0.5264466124450268
129,94.0,6,1,0.5238143793828016
130,97.0,4,1,0.5211953074858876
131,37.0,36,1,0.5185893309484582
132,92.0,5,1,0.5159963842937159
133,92.0,5,1,0.5134164023722473
134,-98.0,50,0,0.510849320360386
135,77.0,15,1,0.5082950737585841
136,91.0,6,1,0.5057535983897912
137,81.0,8,1,0.5032248303978422
138,19.0,39,1,0.500708706245853
139,96.0,5,1,0.4982051627146237
140,85.0,8,1,0.49571413690105054
141,-133.0,50,0,0.4932355662165453
142,89.0,7,1,0.4907693883854626
143,70.0,14,1,0.4883155414435353
144,88.0,9,1,0.4858739637363176
145,38.0,35,1,0.483444593917636
146,72.0,20,1,0.4810273709480478
147,-113.0,50,0,0.47862223409330756
148,71.0,17,1,0.47622912292284103
149,81.0,11,1,0.4738479773082268
150,88.0,9,1,0.47147873742168567
151,87.0,9,1,0.46912134373457726
152,90.0,6,1,0.46677573701590436
153,95.0,6,1,0.46444185833082485
154,90.0,6,1,0.46211964903917074
155,96.0,5,1,0.4598090507939749
156,35.0,27,1,0.457510005540005
157,84.0,12,1,0.45522245551230495
158,85.0,7,1,0.4529463432347434
159,95.0,5,1,0.4506816115185697
160,89.0,8,1,0.4484282034609769
161,97.0,4,1,0.446186062443672
162,66.0,18,1,0.4439551321314536
163,70.0,17,1,0.4417353564707963
164,82.0,7,1,0.43952667968844233
165,82.0,11,1,0.43732904629000013
166,85.0,12,1,0.4351424010585501
167,80.0,12,1,0.43296668905325736
168,34.0,31,1,0.43080185560799106
169,94.0,6,1,0.4286478463299511
170,11.0,42,1,0.42650460709830135
171,91.0,6,1,0.42437208406280985
172,-119.0,50,0,0.4222502236424958
173,75.0,19,1,0.42013897252428334
174,89.0,7,1,0.4180382776616619
175,90.0,6,1,0.4159480862733536
176,86.0,9,1,0.41386834584198684
177,70.0,13,1,0.4117990041127769
178,56.0,24,1,0.40974000909221303
179,48.0,27,1,0.40769130904675194
180,89.0,8,1,0.40565285250151817
181,80.0,12,1,0.4036245882390106
182,85.0,11,1,0.4016064652978155
183,97.0,4,1,0.3995984329713264
184,79.0,13,1,0.3976004408064698
185,23.0,37,1,0.39561243860243744
186,93.0,7,1,0.3936343764094253
187,90.0,6,1,0.39166620452737816
188,91.0,6,1,0.3897078735047413
189,91.0,6,1,0.3877593341372176
190,93.0,8,1,0.3858205374665315
191,89.0,8,1,0.38389143477919885
192,89.0,8,1,0.3819719776053028
193,89.0,8,1,0.3800621177172763
194,87.0,10,1,0.37816180712868996
195,90.0,7,1,0.37627099809304654
196,94.0,7,1,0.3743896431025813
197,85.0,9,1,0.37251769488706843
198,89.0,7,1,0.3706551064126331
199,84.0,9,1,0.36880183088056995
200,97.0,4,1,0.3669578217261671
201,97.0,4,1,0.36512303261753626
202,92.0,5,1,0.3632974174544486
203,87.0,6,1,0.3614809303671764
204,89.0,7,1,0.3596735257153405
205,91.0,6,1,0.3578751580867638
206,41.0,36,1,0.35608578229633
207,94.0,7,1,0.3543053533848483
208,78.0,14,1,0.35253382661792404
209,94.0,6,1,0.3507711574848344
210,92.0,9,1,0.34901730169741024
211,83.0,10,1,0.3472722151889232
212,89.0,7,1,0.3455358541129786
213,82.0,11,1,0.3438081748424137
214,93.0,6,1,0.3420891339682016
215,-120.0,50,0,0.3403786882983606
216,95.0,6,1,0.3386767948568688
217,79.0,10,1,0.33698341088258443
218,93.0,8,1,0.3352984938281715
219,80.0,11,1,0.33362200135903064
220,94.0,7,1,0.33195389135223546
221,96.0,5,1,0.3302941218954743
222,96.0,5,1,0.32864265128599696
223,90.0,7,1,0.326999438029567
224,87.0,9,1,0.3253644408394192
225,97.0,4,1,0.3237376186352221
226,80.0,9,1,0.322118930542046
227,95.0,6,1,0.32050833588933575
228,95.0,5,1,0.31890579420988907
229,85.0,8,1,0.3173112652388396
230,59.0,21,1,0.3157247089126454
231,94.0,7,1,0.3141460853680822
232,97.0,4,1,0.3125753549412418
233,88.0,8,1,0.31101247816653554
234,89.0,8,1,0.30945741577570285
